YEAR,MONTH,STORE,DAYPART,CATEGORY_ID,REVENUE_NET,QTY
2018,6,1,D,15,1700,560
2018,6,1,L,15,3100,1010
2018,7,1,B,15,6400,2230
2018,7,1,D,15,1300,440
2018,7,1,L,15,3200,1030
2018,8,1,B,15,5600,2000
2018,8,1,D,15,1300,420
2018,8,1,L,15,3000,1000
2018,9,1,B,15,5200,1890
2018,9,1,D,15,1500,470
2018,9,1,L,15,2700,910
2018,10,1,B,15,5700,2050
2018,10,1,D,15,1500,480
2018,10,1,L,15,3200,1040
2018,11,1,B,15,4400,1620
2018,11,1,D,15,1200,390
2018,11,1,L,15,2200,720
2018,12,1,B,15,4400,1580
2018,12,1,D,15,1000,330
2018,12,1,L,15,2400,790
2019,1,1,B,15,3800,1350
2019,1,1,D,15,1600,460
2019,1,1,L,15,2900,900
2019,2,1,B,15,3600,1230
2019,2,1,D,15,1500,430
2019,2,1,L,15,2600,780
2019,3,1,B,15,4600,1580
2019,3,1,D,15,1300,410
2019,3,1,L,15,2500,760
2019,4,1,B,15,5300,1800
2019,4,1,D,15,1600,470
2019,4,1,L,15,2900,890
2019,5,1,B,15,5800,1980
2019,5,1,D,15,1500,440
2019,5,1,L,15,2500,790
2019,6,1,B,15,5800,1950
2019,6,1,D,15,1500,470
2019,6,1,L,15,3100,950
2018,1,2,B,15,8300,3090
2018,1,2,D,15,2000,650
2018,1,2,L,15,4400,1560
2018,2,2,B,15,7800,2930
2018,2,2,D,15,1700,590
2018,2,2,L,15,3900,1410
2018,3,2,B,15,9500,3500
2018,3,2,D,15,2100,700
2018,3,2,L,15,3900,1400
2018,4,2,B,15,9700,3510
2018,4,2,D,15,2200,710
2018,4,2,L,15,3800,1340
2018,5,2,B,15,9900,3550
2018,5,2,D,15,2200,720
2018,5,2,L,15,4000,1380
2018,6,2,B,15,9600,3470
2018,6,2,D,15,2300,720
2018,6,2,L,15,4100,1440
2018,7,2,B,15,10100,3640
2018,7,2,D,15,2300,750
2018,7,2,L,15,4800,1650
2018,8,2,B,15,9200,3360
2018,8,2,D,15,2000,670
2018,8,2,L,15,4000,1410
2018,9,2,B,15,10200,3700
2018,9,2,D,15,1900,640
2018,9,2,L,15,4000,1440
2018,10,2,B,15,9900,3550
2018,10,2,D,15,2000,670
2018,10,2,L,15,4400,1520
2018,11,2,B,15,9300,3380
2018,11,2,D,15,2000,650
2018,11,2,L,15,3900,1360
2018,12,2,B,15,10300,3760
2018,12,2,D,15,2200,730
2018,12,2,L,15,4700,1620
2019,1,2,B,15,10000,3470
2019,1,2,D,15,3000,880
2019,1,2,L,15,5600,1740
2019,2,2,B,15,9500,3210
2019,2,2,D,15,2700,780
2019,2,2,L,15,5000,1520
2019,3,2,B,15,10600,3650
2019,3,2,D,15,2600,790
2019,3,2,L,15,4900,1530
2019,4,2,B,15,10400,3660
2019,4,2,D,15,2100,630
2019,4,2,L,15,4400,1350
2019,5,2,B,15,11800,4020
2019,5,2,D,15,2000,620
2019,5,2,L,15,4100,1280
2019,6,2,B,15,12000,4110
2019,6,2,D,15,2100,640
2019,6,2,L,15,4500,1430
2018,1,3,B,15,6900,2520
2018,1,3,D,15,1200,420
2018,1,3,L,15,4400,1510
2018,2,3,B,15,7100,2650
2018,2,3,D,15,1200,400
2018,2,3,L,15,4400,1500
2018,3,3,B,15,8800,3180
2018,3,3,D,15,1700,560
2018,3,3,L,15,4700,1540
2018,4,3,B,15,10200,3500
2018,4,3,D,15,1500,490
2018,4,3,L,15,4500,1460
2018,5,3,B,15,9000,3160
2018,5,3,D,15,1500,480
2018,5,3,L,15,4300,1400
2018,6,3,B,15,8700,3080
2018,6,3,D,15,1400,450
2018,6,3,L,15,4500,1480
2018,7,3,B,15,9600,3360
2018,7,3,D,15,1700,580
2018,7,3,L,15,5300,1760
2018,8,3,B,15,8600,3140
2018,8,3,D,15,1400,450
2018,8,3,L,15,4200,1410
2018,9,3,B,15,7200,2630
2018,9,3,D,15,1200,410
2018,9,3,L,15,4000,1350
2018,10,3,B,15,10000,3490
2018,10,3,D,15,1600,520
2018,10,3,L,15,4500,1450
2018,11,3,B,15,8000,2830
2018,11,3,D,15,1200,390
2018,11,3,L,15,3700,1220
2018,12,3,B,15,7300,2620
2018,12,3,D,15,1200,380
2018,12,3,L,15,4100,1340
2019,1,3,B,15,7600,2630
2019,1,3,D,15,1700,500
2019,1,3,L,15,5400,1620
2019,2,3,B,15,7300,2380
2019,2,3,D,15,1800,510
2019,2,3,L,15,5200,1540
2019,3,3,B,15,10000,3270
2019,3,3,D,15,1800,540
2019,3,3,L,15,5400,1640
2019,4,3,B,15,9700,3110
2019,4,3,D,15,1700,490
2019,4,3,L,15,4600,1390
2019,5,3,B,15,8800,2910
2019,5,3,D,15,1500,460
2019,5,3,L,15,4000,1200
2019,6,3,B,15,9400,3080
